periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2013-05-01,121135.92,153899.8769999998,43751.40500000001,4780.4,81253.83999999998,118186.856,66966.47,226144.301,91238.69699999997,181703.34,292850.4390000001,27203.33700000001,47262.45700000001,903.4619999999999,1457280.801
2013-06-01,125936.895,142132.875,38236.50300000001,3378.9,78440.55,116163.1810000001,68676.19400000002,202744.8160000001,84462.68399999999,174123.8700000001,261061.7399999999,24738.677,43394.874,941.0820000000001,1364432.841
2013-07-01,113975.865,147405.469,43073.516,3615.599999999999,81268.47499999999,112228.286,69955.98500000002,185203.189,88850.18199999994,167859.0940000001,274346.8970000001,26700.864,45942.86799999999,1092.169,1361518.459
2013-08-01,113938.406,149034.0610000001,44155.34499999999,3658.5,82438.86799999996,119670.19,68572.15400000001,203435.975,90825.61599999994,181242.545,291836.847,26690.10200000001,46287.86800000002,1136.608,1422923.085
2013-09-01,109154.1599999999,141836.1220000001,47149.46100000003,3419.3,82463.67600000004,121215.249,66523.45799999998,212145.261,90379.96099999995,186429.189,303004.3580000002,25779.414,45788.80100000001,1114.396,1436402.806
2013-10-01,92073.00099999992,147832.9599999998,51468.41900000001,3696.8,84168.39900000003,126814.895,65367.035,227401.4510000002,91572.29100000003,188259.799,326415.488,25963.77499999999,46294.698,1119.859,1478448.87
2013-11-01,83231.43600000002,145979.753,53475.11500000001,3639.4,83612.67400000001,121925.187,67723.70200000002,221980.3069999999,91715.64799999994,185320.724,320544.917,25818.49,44330.21000000003,1164.135,1450461.698
2013-12-01,77245.70599999998,144615.917,57077.59399999999,3975.599999999999,73578.66000000002,116579.076,70634.93299999998,230160.856,84228.71800000001,180652.314,281884.19,23135.589,39075.07500000002,1115.147,1383959.375
2014-01-01,88296.32100000004,145430.8269999999,60326.00999999999,4339.3,65820.85800000002,117984.453,71028.99200000001,232100.0250000001,84290.55999999995,160668.1829999999,232484.003,22354.565,30492.036,1173.128,1316789.261
2014-02-01,88451.95499999999,143445.6959999999,55165.12600000003,4243,73459.07499999998,111607.552,59153.52099999999,208951.0080000001,78198.24299999999,150916.7599999999,247904.475,21854.862,40371.10300000001,1102.591,1284824.967
2014-03-01,98740.19500000005,143380.8740000002,50154.96000000002,4592.1,77703.94500000001,118742.567,63015.33100000002,218838.6680000001,82474.65700000008,171582.439,292649.8780000001,24052.642,38508.14999999998,812.938,1385249.344000001
2014-04-01,112168.392,143100.78,46162.72100000002,4671.5,77167.01599999997,108127.004,63835.61300000001,216556.519,83896.90200000003,176303.8539999999,307215.6120000001,24628.569,38074.236,942.0970000000001,1402850.815
2014-05-01,122627.895,144599.6550000001,44186.86699999999,4641.6,76682.28000000003,110598.044,70051.37,226569.922,84634.00799999997,180904.672,323127.749,24991.486,35418.07900000001,955.898,1449989.525
2014-06-01,120032.021,139708.3049999999,38677.75499999999,4267,76416.23300000001,110687.878,64039.404,215632.0500000002,83784.64999999997,170267.369,335992.9019999999,24765.47200000001,36506.447,1072.099,1421849.585
