id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
KCS,KCS,KCS,KuCoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kcs.jpg,active,9.92617441,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,97898695,145398695,971759518,0.0011,18,117,4666,2017-09-17T00:00:00Z,2020-03-26T00:00:00Z,2019-06-04T00:00:00Z,53,-2,27.61761010,2021-12-01T00:00:00Z,3868564.46,-0.28838589,-0.0282,578905.93,0.1760,-28232601.75,-0.0282,ETH,
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,0.92482171,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,999585830,,924438677,0.0010,236,1699,140,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,54,-1,20.88066457,2018-04-29T00:00:00Z,232613120.06,-0.030483097,-0.0319,-13720718.28,-0.0557,-30362273.85,-0.0318,EOS,
PAX,PAX,USDP,Pax Dollar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,1.00260471,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,857619849,857619849,859853699,0.0009,112,628,20,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,55,-1,1.05827607,2021-10-13T00:00:00Z,126253616.22,0.00025260004,0.0003,78372315.08,1.6368,-14942766.54,-0.0171,ETH,
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.png,active,0.022703165,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,37325192073,37325192073,847399985,0.0009,9,83,0,2019-09-22T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,56,6,0.95827423,2019-11-26T00:00:00Z,38564151.08,0.000052774169,0.0023,31424589.09,4.4015,68729067.89,0.0883,ETH,
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,901.62200335,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,901311,977631,812641782,0.0009,174,770,15,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,57,-2,5989.61910559,2021-05-03T00:00:00Z,149999753.09,-64.62758973,-0.0669,10536789.85,0.0756,-58249554.12,-0.0669,ETH,
ELG,ELG,ELG,Escoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ELG.jpg,active,3.40144070,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,237976494,250000000,809462932,0.0009,9,15,1,2020-11-30T00:00:00Z,2020-11-30T00:00:00Z,2021-01-05T00:00:00Z,58,2,3.60441749,2022-06-18T00:00:00Z,1433550.90,-0.0086564782,-0.0025,-392781.53,-0.2151,-2060038.32,-0.0025,ETH,2020-12-01T17:25:58.226026Z
AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,57.99346981,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,13901056,16000000,806170461,0.0009,160,748,13,2018-11-26T00:00:00Z,2020-10-02T00:00:00Z,2020-10-04T00:00:00Z,59,-3,629.15959256,2021-05-18T00:00:00Z,241079871.14,-3.32200616,-0.0542,20282314.65,0.0919,-46170809.14,-0.0542,ETH,
OMI,OMI,OMI,ECOMI,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMI.png,active,0.0013515787,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,581910045187,750000000000,786497250,0.0009,5,8,0,2019-10-01T00:00:00Z,2021-03-23T00:00:00Z,2020-02-14T00:00:00Z,60,-2,0.013122220,2021-03-19T00:00:00Z,936059.58,-0.000084692639,-0.0590,-19930.04,-0.0208,-49283497.27,-0.0590,GO,2021-02-02T14:53:17.269368Z
BTT2,BTT2,BTT,BitTorrent V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTT2.png,active,0.00000084351162,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,932028892857000,990000000000000,786177203,0.0009,40,63,7,2019-01-31T00:00:00Z,2019-02-08T00:00:00Z,2019-02-14T00:00:00Z,61,-2,0.010847439,2021-04-06T00:00:00Z,102076282.73,-0.000000044790146,-0.0504,-131308067.35,-0.5626,-41745710.65,-0.0504,TRX,2021-12-22T22:21:23.096382Z
UST,UST,USTC,TerraClassicUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UST2.png,active,0.075791251,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,10254324366,10254324366,777188067,0.0008,60,536,836,2019-06-05T00:00:00Z,2019-06-27T00:00:00Z,2020-03-25T00:00:00Z,62,20,1.04197365,2021-01-31T00:00:00Z,1223853446.90,0.021606823,0.3988,616223290.39,1.0141,221563450.30,0.3988,LUNA,
USDN,USDN,USD-N,Neutrino,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/USDN.jpg,active,0.98611334,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,786992202,786992202,776063508,0.0008,9,170,1245,2019-12-07T00:00:00Z,,2020-01-07T00:00:00Z,63,2,1.07915792,2020-03-19T00:00:00Z,577975.29,0.0084036844,0.0086,-740614.41,-0.5617,6009560.39,0.0078,WAVES,2021-02-02T14:53:17.269368Z
HT,HT,HT,Huobi Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HT.jpg,active,4.96661776,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,154409022,500000000,766890592,0.0008,84,2641,23196,2018-06-16T00:00:00Z,2018-06-16T00:00:00Z,2019-02-15T00:00:00Z,64,-3,34.97211113,2021-05-12T00:00:00Z,21772827.52,-0.25694105,-0.0492,955966.06,0.0459,-39674015.90,-0.0492,HT,
IOT,IOT,IOT,IOTA (MIOTA),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,0.26631228,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,2779530283,2779530283,740223050,0.0008,41,116,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,65,-1,5.37677212,2017-12-19T00:00:00Z,15187368.53,-0.012096089,-0.0434,-2344077.49,-0.1337,-33621444.91,-0.0434,,
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH.png,active,21.94577914,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,33139138,33139138,727264202,0.0008,4,40,0,2020-03-25T00:00:00Z,2020-06-27T00:00:00Z,2021-10-27T00:00:00Z,66,1,96.49359102,2021-11-08T00:00:00Z,2724106.80,-1.10761768,-0.0480,1518454.33,1.2594,-32530893.29,-0.0428,ETH,
XEC,XEC,XEC,eCash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XEC.jpg,active,0.000038042561,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,19101054673303,21000000000000,726653042,0.0008,37,71,1,2020-09-24T00:00:00Z,2020-11-15T00:00:00Z,2020-11-15T00:00:00Z,67,-1,0.00033284230,2021-09-04T00:00:00Z,8612132.28,-0.0000021290702,-0.0530,-11558300.85,-0.5730,-40635349.37,-0.0530,,2021-07-07T19:15:23.761148Z
ZEC,ZEC,ZEC,Zcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zec.svg,active,56.43660076,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,12597241,21000000,710945484,0.0008,192,604,71,2016-09-15T00:00:00Z,2016-09-15T00:00:00Z,2018-08-29T00:00:00Z,68,0,2073.21389918,2016-10-29T00:00:00Z,160310416.07,-3.46393740,-0.0578,21834855.40,0.1577,-43419464.33,-0.0576,,
TIME5,TIME5,TIME,TIME (Wonderland),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TIME5.png,active,32.97739871,2022-06-30T00:00:00Z,2022-06-30T02:21:00Z,21212599,21225116,699536325,0.0008,10,33,5,2021-09-02T00:00:00Z,2021-09-02T00:00:00Z,2021-10-27T00:00:00Z,69,3,9758.87055410,2021-11-07T00:00:00Z,342743.70,-0.40355562,-0.0121,120638.73,0.5432,4184452.41,0.0060,AVAX,2021-09-07T18:38:16.040658Z
GRT,GRT,GRT,The Graph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GRT.jpg,active,0.093356389,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,7400273157,10000000000,690862779,0.0007,130,286,0,2020-05-23T00:00:00Z,2020-12-17T00:00:00Z,2020-05-23T00:00:00Z,70,-1,2.34087203,2021-02-13T00:00:00Z,122116428.13,-0.0083400736,-0.0820,18717702.20,0.1810,-61718822.69,-0.0820,ETH,
QNT,QNT,QNT,Quant,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/qnt.jpg,active,51.12234121,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,13413953,14612493,685752706,0.0007,61,125,1,2018-06-25T00:00:00Z,2018-06-25T00:00:00Z,2019-01-29T00:00:00Z,71,-8,395.52265424,2021-09-10T00:00:00Z,31927484.88,-6.78403402,-0.1172,6010203.19,0.2319,-91000716.71,-0.1172,ETH,
KLAY,KLAY,KLAY,Klaytn,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KLAY.jpg,active,0.23038006,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,2912610705,,671007442,0.0007,51,85,0,2019-09-26T00:00:00Z,2020-03-02T00:00:00Z,2020-02-21T00:00:00Z,72,-2,4.22057107,2021-03-30T00:00:00Z,35358541.10,-0.012111244,-0.0499,8162629.61,0.3001,-35209249.16,-0.0499,KLAY,
FTM,FTM,FTM,Fantom,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ftm.png,active,0.25763740,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,2541152731,3175000000,654695978,0.0007,146,1234,20929,2018-10-28T00:00:00Z,2018-10-29T00:00:00Z,2019-06-04T00:00:00Z,73,-2,3.31135300,2022-01-16T00:00:00Z,584853554.54,-0.018149669,-0.0658,12279614.48,0.0214,-46121081.62,-0.0658,FTM,
PAXG,PAXG,PAXG,PAX Gold,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/PAXG.png,active,1826.59040935,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,333258,333258,608726767,0.0007,49,124,10,2019-09-10T00:00:00Z,2019-10-01T00:00:00Z,2019-10-18T00:00:00Z,74,2,2092.85134329,2020-08-06T00:00:00Z,35285733.29,-1.84682610,-0.0010,-21849405.08,-0.3824,-615470.48,-0.0010,ETH,
GT,GT,GT,Gatechain Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GT.png,active,4.07000998,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,148515369,300000000,604459033,0.0007,24,56,0,2019-04-21T00:00:00Z,2019-04-21T00:00:00Z,2019-06-04T00:00:00Z,75,-1,11.27613950,2021-05-12T00:00:00Z,3206310.84,-0.070045228,-0.0169,204951.17,0.0683,-10402792.87,-0.0169,ETH,
NEO,NEO,NEO,NEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/neo.svg,active,8.45550735,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,70530000,100000000,596366933,0.0006,140,463,4,2016-10-26T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,76,-3,190.71047459,2018-01-15T00:00:00Z,71139547.99,-0.58452161,-0.0647,9785978.10,0.1595,-41226309.07,-0.0647,NEO,
RUNE,RUNE,RUNE,THORChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RUNE.png,active,1.91458121,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,300755175,500000000,575820205,0.0006,47,98,0,2019-07-20T00:00:00Z,2019-07-20T00:00:00Z,2019-07-26T00:00:00Z,77,0,20.35429921,2021-05-18T00:00:00Z,290069536.54,-0.088760494,-0.0443,-48966147.68,-0.1444,-26695177.91,-0.0443,BNB,
BAT,BAT,BAT,Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bat.svg,active,0.37963849,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1497691558,1500000000,568581356,0.0006,219,723,14,2017-06-03T00:00:00Z,2017-10-01T00:00:00Z,2018-08-29T00:00:00Z,78,2,1.76080494,2021-11-27T00:00:00Z,102628910.64,0.0047616439,0.0127,24700658.32,0.3170,7131473.83,0.0127,ETH,
BLOCKSTACK,BLOCKSTACK,STX,Stacks,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BLOCKSTACK.png,active,0.42507630,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1320877040,1352464600,561473524,0.0006,32,63,0,2017-11-10T00:00:00Z,2017-11-10T00:00:00Z,2019-06-05T00:00:00Z,79,-1,2.87809990,2021-12-01T00:00:00Z,64072778.81,-0.022932972,-0.0512,-48549182.43,-0.4311,-30224027.29,-0.0511,,
ZIL,ZIL,ZIL,Zilliqa,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zil.svg,active,0.038360767,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,14521345293,21000000000,557049946,0.0006,118,434,256,2018-01-25T00:00:00Z,2018-01-25T00:00:00Z,2018-08-29T00:00:00Z,80,-5,0.23715036,2021-04-16T00:00:00Z,459078595.52,-0.0036137980,-0.0861,70486026.50,0.1814,-52294272.44,-0.0858,ZIL,
CDAI,CDAI,CDAI,Compound Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CDAI.png,active,0.022087335,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,25027179248,25027179248,552783681,0.0006,8,80,1,2020-03-25T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,81,3,0.024212183,2020-09-20T00:00:00Z,31381818.10,-0.000000056539307,-0.0000,18482243.02,1.4328,8574043.71,0.0158,ETH,
HBTC,HBTC,HBTC,Huobi BTC (ERC-20),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBTC.png,active,20087.40305703,2022-06-30T00:00:00Z,2022-06-29T09:49:00Z,26960,38970,541565962,0.0006,10,12,0,2020-08-27T00:00:00Z,2020-08-27T00:00:00Z,2020-09-28T00:00:00Z,82,3,65943.80120626,2021-11-03T00:00:00Z,20074.79,109.04918757,0.0055,,,2940018.08,0.0055,ETH,2020-12-20T19:05:46.698792Z
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,2.34153331,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,226851982,277886449,531181473,0.0006,148,1089,16,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,83,-4,27.15814772,2021-02-12T00:00:00Z,184027927.20,-0.25695966,-0.0989,-11687723.06,-0.0597,-55796556.58,-0.0951,ETH,
WAVES,WAVES,WAVES,Waves,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WAVES.png,active,5.28805176,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,100000000,100000000,528805176,0.0006,107,1677,6151,2016-06-20T00:00:00Z,2016-11-15T00:00:00Z,2018-08-29T00:00:00Z,84,-1,54.65913372,2022-03-31T00:00:00Z,333222480.08,-0.18555584,-0.0339,4797896.56,0.0146,-18555584.16,-0.0339,WAVES,
CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.098350989,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,5344064580,8888888888,525594036,0.0006,117,303,4,2019-06-29T00:00:00Z,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,85,-4,0.71201491,2021-04-16T00:00:00Z,208743137.96,-0.0064530918,-0.0616,-452874697.77,-0.6845,-34485739.13,-0.0616,CHZ,
DFI,DFI,DFI,DeFiChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DFI.jpg,active,0.94728658,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,543544763,1200000000,514892661,0.0006,8,32,0,2020-06-17T00:00:00Z,2021-03-31T00:00:00Z,2020-06-17T00:00:00Z,86,3,5.51216167,2021-12-05T00:00:00Z,6861103.06,0.025470501,0.0276,864705.97,0.1442,14382166.26,0.0287,,
TITAN3,TITAN3,TITAN,TitanSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TITAN3.jpg,active,5.04835595,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,100000000,10000000000,504835595,0.0005,14,21,0,2020-09-13T00:00:00Z,2020-09-13T00:00:00Z,2020-09-24T00:00:00Z,87,-1,9.06031760,2021-07-09T00:00:00Z,12828408.01,-0.16423907,-0.0315,3935293.38,0.4425,-16423907.02,-0.0315,ETH,2020-10-28T18:55:07.646195Z
CUSDT,CUSDT,CUSDT,Compound USDT,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDT.png,active,0.021918432,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,21691221853,21691221853,475437574,0.0005,9,67,0,2020-05-02T00:00:00Z,2020-06-15T00:00:00Z,2020-06-19T00:00:00Z,88,5,0.022226859,2022-05-12T00:00:00Z,2876336.48,0.000016659960,0.0008,1520014.98,1.1207,361374.88,0.0008,ETH,
LRC,LRC,LRC,Loopring,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LRC.jpg,active,0.38130513,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1245991469,1373873437,475102940,0.0005,137,512,5,2017-07-09T00:00:00Z,2017-09-01T00:00:00Z,2018-08-29T00:00:00Z,89,2,3.40080374,2021-11-24T00:00:00Z,86888271.74,-0.014354640,-0.0363,9603564.92,0.1243,-17885758.56,-0.0363,ETH,
DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,43.56852648,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,10798000,18920000,470452956,0.0005,223,995,181,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,90,-3,1440.09321801,2017-12-20T00:00:00Z,122650604.97,-3.39709764,-0.0723,7102457.42,0.0615,-36617844.98,-0.0722,,
ENJ,ENJ,ENJ,Enjin Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/enj.svg,active,0.50238651,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,934340660,1000000000,469400143,0.0005,160,397,1,2017-11-01T00:00:00Z,2017-11-01T00:00:00Z,2018-08-29T00:00:00Z,91,-3,4.49919289,2021-11-24T00:00:00Z,81554615.39,-0.035682548,-0.0663,-22945782.49,-0.2196,-33339655.14,-0.0663,ETH,
GMT7,GMT7,GMT,STEPN Governance Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GMT7.svg,active,0.84823208,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,541076770,5849193826,458958672,0.0005,41,70,0,2022-03-09T00:00:00Z,2022-03-09T00:00:00Z,2022-03-09T00:00:00Z,92,-2,3.84761839,2022-04-29T00:00:00Z,552429893.87,-0.062092912,-0.0682,-118871797.62,-0.1771,-34085963.64,-0.0691,SOL,2022-03-10T15:12:51.116825Z
CAKE,CAKE,CAKE,PancakeSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CAKE.jpg,active,3.03577795,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,150080248,307093614,455610307,0.0005,132,2131,2355,2020-09-22T00:00:00Z,2020-09-22T00:00:00Z,2020-09-29T00:00:00Z,93,-1,42.71885483,2021-04-29T00:00:00Z,68315957.04,-0.17236710,-0.0537,-1196478.47,-0.0172,-26761575.10,-0.0555,BNB,2021-02-02T14:53:17.269368Z
XAUT,XAUT,XAUT,Tether Gold,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XAUT.png,active,1840.75142715,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,246524,,453790012,0.0005,13,48,0,2020-01-24T00:00:00Z,2020-01-24T00:00:00Z,2020-01-24T00:00:00Z,94,1,2044.74189219,2022-03-08T00:00:00Z,1975906.44,-14.51007674,-0.0078,209107.08,0.1184,-3577086.95,-0.0078,ETH,
AR,AR,AR,Arweave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AR.jpeg,active,8.85576125,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,50108502,64598643,443748930,0.0005,41,67,0,2020-02-13T00:00:00Z,2020-06-20T00:00:00Z,2020-02-13T00:00:00Z,95,-1,85.92617203,2021-11-04T00:00:00Z,28408478.80,-0.49705753,-0.0531,7102374.61,0.3333,-24906808.33,-0.0531,,
KSM,KSM,KSM,Kusama,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KSM.jpg,active,48.23559152,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,8980098,10000000,433160343,0.0005,77,154,0,2019-07-31T00:00:00Z,2020-07-25T00:00:00Z,2019-12-31T00:00:00Z,96,0,597.30964566,2021-05-14T00:00:00Z,31899789.59,-2.40698613,-0.0475,-2381921.91,-0.0695,-21614971.52,-0.0475,,
AMP2,AMP2,AMP,AMP Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AMP2.jpg,active,0.0085568073,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,48013928909,99444059889,410845939,0.0004,29,61,2,2015-11-04T00:00:00Z,2017-11-22T00:00:00Z,2018-09-12T00:00:00Z,97,2,0.10879120,2021-06-16T00:00:00Z,2440771.36,-0.00026154464,-0.0297,-709060.74,-0.2251,-12557785.60,-0.0297,ETH,2020-12-08T16:40:31.111161Z
GALA,GALA,GALA,Gala,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GALA.jpg,active,0.054431336,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,7542496572,37747555968,410548167,0.0004,85,156,1,2020-09-13T00:00:00Z,2020-09-13T00:00:00Z,2020-09-14T00:00:00Z,98,-1,0.74455379,2021-11-25T00:00:00Z,483914758.81,-0.0032801579,-0.0568,-13475326.84,-0.0271,-24740579.41,-0.0568,ETH,2020-10-21T20:22:09.286688Z
KAVA,KAVA,KAVA,Kava,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KAVA.png,active,1.79992284,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,217883430,222842407,392173362,0.0004,50,85,0,2019-10-24T00:00:00Z,2019-10-25T00:00:00Z,2019-10-25T00:00:00Z,99,-1,8.58767321,2021-08-23T00:00:00Z,74354168.64,-0.16943014,-0.0860,-44866629.45,-0.3763,-35701677.19,-0.0834,BNB,
CELO,CELO,CELO,Celo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CELO.svg,active,0.86624465,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,445012828,1000000000,385489981,0.0004,58,160,257,2020-05-15T00:00:00Z,2020-08-28T00:00:00Z,2020-05-21T00:00:00Z,100,1,7.61294726,2021-09-24T00:00:00Z,35834799.38,-0.028041891,-0.0314,1687145.37,0.0494,-7273239.51,-0.0185,CELO,
